st_mun_id,cases,death,covid19,coviddeath,male,indigenous,usmer,hospital,edad,state,class
19020,5,0,1,0,3,0,5,1,37.200001,19,1
19021,594,4,60,4,316,2,239,55,38.809765,19,3
19022,60,0,1,0,22,0,6,3,58.866665,19,1
19024,4,0,0,0,2,0,4,2,56.25,19,1
19025,38,0,2,0,15,0,14,10,34.973682,19,1
19026,1390,4,164,2,635,5,488,193,46.591366,19,3
19027,3,0,0,0,0,0,2,1,43.666668,19,1
19028,2,0,1,0,2,0,1,1,40,19,1
19029,2,0,0,0,2,0,1,1,55,19,1
19031,499,4,58,4,251,1,145,83,35.797596,19,3
19032,3,0,0,0,0,0,3,3,38,19,1
19033,98,0,6,0,42,0,88,10,37.877552,19,1
19034,3,0,0,0,0,0,2,1,55.333332,19,1
19035,6,0,0,0,1,0,5,1,39.166668,19,1
19036,14,0,0,0,4,0,14,0,40.92857,19,1
19037,6,0,0,0,4,0,3,2,51.166668,19,1
19038,111,0,5,0,46,0,49,13,39.531532,19,1
19039,2481,25,163,14,1272,5,1531,336,41.946796,19,3
19040,2,0,0,0,2,0,1,1,76,19,1
19041,107,4,15,3,55,0,39,40,32.532711,19,3
19042,2,1,0,0,2,0,2,1,51,19,2
19043,1,0,0,0,1,0,1,0,31,19,1
19044,44,0,1,0,20,0,41,7,35.363636,19,1
19045,44,0,5,0,20,0,29,11,32.25,19,1
19046,803,6,44,3,402,4,478,83,45.023663,19,3
19047,6,0,0,0,4,0,3,1,37,19,1
19048,463,7,29,0,263,2,375,55,39.565876,19,2
19049,69,1,3,1,41,0,18,6,38.826088,19,3
19050,1,0,0,0,1,0,1,0,30,19,1
19051,2,0,0,0,1,0,1,0,49,19,1
19066,1,0,0,0,0,0,1,0,21,19,1
20001,1,0,1,0,1,0,0,1,39,20,1
20002,4,0,0,0,3,0,1,3,41.75,20,1
20003,1,0,1,0,0,0,1,1,48,20,1
20005,2,0,1,0,1,0,1,2,30.5,20,1
20006,11,3,3,0,5,4,4,6,51.272728,20,2
20007,1,0,0,0,1,1,0,0,82,20,1
20009,1,0,0,0,0,0,1,1,58,20,1
20010,5,1,2,0,2,0,0,2,52,20,2
20011,1,0,0,0,1,0,0,1,91,20,1
20012,1,0,0,0,1,1,0,0,6,20,1
20013,1,0,1,0,1,0,0,0,62,20,1
20014,3,1,0,0,3,0,0,3,57.666668,20,2
20020,1,0,0,0,1,0,0,1,0,20,1
20021,4,0,0,0,1,0,1,3,41.75,20,1
20023,16,1,2,0,8,1,10,5,40.25,20,2
20024,1,0,0,0,1,0,1,0,19,20,1
20025,1,0,1,0,0,0,0,1,44,20,1
20026,8,0,3,0,4,2,0,5,35.75,20,1
20029,1,0,0,0,1,1,0,1,2,20,1
20031,5,0,3,0,1,4,4,1,52.400002,20,1
20033,3,0,1,0,1,0,1,0,33.666668,20,1
20037,2,0,1,0,2,1,0,2,53.5,20,1
20039,70,3,13,3,32,2,47,14,39.385715,20,3
20041,1,0,1,0,1,1,0,0,65,20,1
20042,1,0,0,0,1,0,1,1,60,20,1
20043,24,5,8,4,14,8,9,14,45.291668,20,3
20044,7,0,2,0,3,1,5,7,50,20,1
20045,16,0,6,0,9,0,9,5,41.75,20,1
20055,1,0,0,0,1,0,1,1,18,20,1
20057,9,0,2,0,6,0,1,5,46.777779,20,1
20059,1,0,0,0,0,0,0,0,38,20,1
20060,1,0,0,0,1,1,1,1,86,20,1
20063,2,0,1,0,1,1,1,1,49.5,20,1
20064,2,0,0,0,0,0,0,1,52.5,20,1
20067,263,19,49,10,127,11,153,69,42.224335,20,3
20068,5,1,1,1,4,1,0,3,43,20,3
20070,3,0,1,0,3,0,1,3,49,20,1
20073,4,0,0,0,1,1,0,0,41.5,20,1
20077,4,0,0,0,2,0,1,2,25.25,20,1
20078,2,0,0,0,0,0,0,0,54,20,1
20079,34,3,14,1,21,0,11,25,42.529411,20,3
20080,1,0,0,0,0,0,0,1,49,20,1
20083,6,0,0,0,1,0,2,1,26.166666,20,1
20084,2,0,1,0,1,0,1,0,38.5,20,1
20085,1,0,0,0,1,1,1,1,17,20,1
20087,5,1,1,0,2,0,3,2,46.599998,20,2
20091,4,1,1,1,2,1,1,3,62,20,3
20092,3,1,2,1,3,0,2,3,49,20,3
20102,1,1,0,0,0,0,1,1,0,20,2
20103,3,2,3,2,1,0,0,2,55.666668,20,3
